id|title|description|google product category|product type|link|mobile link|image link|condition|availability|price|sale_price|sale price effective date|brand|gtin|mpn|identifier exists|tax|shipping|shipping label|shipping weight|multipack|expiration date
ace000|Aviator Sunglasses|Gunmetal frame with crystal gradient polycarbonate lenses in grey. ||Eyewear|http://localhost/magento/mage19/prepareGoogleDataFeed.php/aviator-sunglasses.html|http://localhost/magento/mage19/prepareGoogleDataFeed.php/aviator-sunglasses.html|http://localhost/magento/mage19/media/catalog/product/a/c/ace000a_1.jpg|new|in stock|295 USD||||ace000||true|US:FL:6:n|US:::0.00 USD|Free Shipping|1.0000||2015-09-09
ace001|Jackie O Round Sunglasses|Acetate frame. Polycarbonate lenses.||Accessories,Eyewear|http://localhost/magento/mage19/prepareGoogleDataFeed.php/jackie-o-round-sunglasses.html|http://localhost/magento/mage19/prepareGoogleDataFeed.php/jackie-o-round-sunglasses.html|http://localhost/magento/mage19/media/catalog/product/a/c/ace001_1.jpg|new|in stock|225.0000 USD||||ace001||true|US:FL:6:n|US:::0.00 USD|Free Shipping|1.0000||2015-09-09
ace002|Retro Chic Eyeglasses|Acetate frame. Polycarbonate lenses.||Eyewear|http://localhost/magento/mage19/prepareGoogleDataFeed.php/retro-chic-eyeglasses.html|http://localhost/magento/mage19/prepareGoogleDataFeed.php/retro-chic-eyeglasses.html|http://localhost/magento/mage19/media/catalog/product/a/c/ace002a_1.jpg|new|in stock|295 USD||||ace002||true|US:FL:6:n|US:::0.00 USD|Free Shipping|1.0000||2015-09-09
abl000|Isla Crossbody Handbag|Pebbled leather. Contrast stitching. Fold over flap with Fasten closure. Crossbody strap. 6" x 8" x 0.75".||Bags & Luggage|http://localhost/magento/mage19/prepareGoogleDataFeed.php/isla-crossbody-handbag.html|http://localhost/magento/mage19/prepareGoogleDataFeed.php/isla-crossbody-handbag.html|http://localhost/magento/mage19/media/catalog/product/a/b/abl000_4.jpg|new|in stock|290 USD||||abl000||true|US:FL:6:n|US:::0.00 USD|Free Shipping|1.0000||2015-09-09
abl001|Florentine Satchel Handbag|Leather. Silver hardware. Inside open pocket. Fasten closure, fabric lining. Handles with 7" drop. 14" x 3.5" x 9". Imported.||Bags & Luggage|http://localhost/magento/mage19/prepareGoogleDataFeed.php/florentine-satchel-handbag.html|http://localhost/magento/mage19/prepareGoogleDataFeed.php/florentine-satchel-handbag.html|http://localhost/magento/mage19/media/catalog/product/a/b/abl001_1.jpg|new|out of stock|625 USD||||abl001||true|US:FL:6:n|US:::0.00 USD|Free Shipping|1.0000||2015-09-09
abl002|Flatiron Tablet Sleeve|Pebble textured leather tabled case. Top zip closure. Exterior zipper pocket. Fully lined with back wall slip pocket. 8.75" x 11" x .5". Imported.||Bags & Luggage|http://localhost/magento/mage19/prepareGoogleDataFeed.php/leather-tablet-sleeve.html|http://localhost/magento/mage19/prepareGoogleDataFeed.php/leather-tablet-sleeve.html|http://localhost/magento/mage19/media/catalog/product/a/b/abl002b_1.jpg|new|in stock|150 USD||||abl002||true|US:FL:6:n|US:::0.00 USD|Free Shipping|1.0000||2015-09-09
abl003|Broad St. Flapover Briefcase|Leather, with flap closure. Padded carrying handles. Main compartment has padded laptop pocket, file section and organizer panel. Quick access back pocket. Padded adjustable shoulder strap. 16" x 12" x 3.5". Domestic.||Bags & Luggage|http://localhost/magento/mage19/prepareGoogleDataFeed.php/flapover-briefcase.html|http://localhost/magento/mage19/prepareGoogleDataFeed.php/flapover-briefcase.html|http://localhost/magento/mage19/media/catalog/product/a/b/abl003b_1.jpg|new|in stock|570 USD||||abl003||true|US:FL:6:n|US:::0.00 USD|Free Shipping|1.0000||2015-09-09
abl004|Houston Travel Wallet|Leather. 4" x 6.5" x 0.5"||Bags & Luggage|http://localhost/magento/mage19/prepareGoogleDataFeed.php/rolls-travel-wallet.html|http://localhost/magento/mage19/prepareGoogleDataFeed.php/rolls-travel-wallet.html|http://localhost/magento/mage19/media/catalog/product/a/b/abl004a_1.jpg|new|in stock|210 USD||||abl004||true|US:FL:6:n|US:::0.00 USD|Free Shipping|1.0000||2015-09-09
abl005|Roller Suitcase|Zip closure. Water resistant hard polycarbonate shell. All direction spinner wheels. Retractable plastic handle. Cross strap interior. 29" x 20" x 13".||Bags & Luggage|http://localhost/magento/mage19/prepareGoogleDataFeed.php/roller-suitcase.html|http://localhost/magento/mage19/prepareGoogleDataFeed.php/roller-suitcase.html|http://localhost/magento/mage19/media/catalog/product/a/b/abl005a_1.jpg|new|in stock|650 USD||||abl005||true|US:FL:6:n|US:::0.00 USD|Free Shipping|1.0000||2015-09-09
hdb000|Body Wash with Lemon Flower Extract and Aloe Vera|Lemon flower and Aloe Vera extract. Super moisturizing. ||Bed & Bath|http://localhost/magento/mage19/prepareGoogleDataFeed.php/body-wash-with-lemon-flower-extract-and-aloe-vera.html|http://localhost/magento/mage19/prepareGoogleDataFeed.php/body-wash-with-lemon-flower-extract-and-aloe-vera.html|http://localhost/magento/mage19/media/catalog/product/h/d/hdb000_1.jpg|new|in stock|28 USD||||hdb000||true|US:FL:6:n|US:::0.00 USD|Free Shipping|1.0000||2015-09-09
